Name	Beruf
Schmid, Dr. Nils	Jurist
Schmidt (Wetzlar), Dagmar	Historikerin
Schmidt, Eugen	Diplom-Informatiker
Schmidt, Jan Wenzel	Handelsfachwirt
Schmidt, Stefan	Lehrer
Schmidt, Uwe	Hafenfacharbeiter
Schneider (Erfurt), Carsten	Bankkaufmann
Schneider, Daniel	Kulturveranstalter
Schneider, Jörg	Diplom-Ingenieur Maschinenbau
Schnieder, Patrick	Bürgermeister a. D. 
Schön, Nadine	
Schönberger, Marlene	Politikwissenschaftlerin (M. A.)
Scholz, Olaf	Rechtsanwalt
Schraps, Johannes	Politikwissenschaftler (M.A.)
Schreider, Christian	Jurist
Schreiner, Felix	
Schrodi, Michael	Gymnasiallehrer
Schröder, Christina-Johanne	Politikreferentin
Schröder, Ria	Juristin
Schulz, Anja	Finanzberaterin
Schulz, Uwe	
Schulz-Asche, Kordula	Kommunikationswissenschaftlerin
Schulze, Svenja	
Schwabe, Frank	
Schwartze, Stefan	Industriemechaniker
Schwarz, Andreas	Diplom-Betriebswirt (FH)
Schwarz, Armin	Lehrer
Schwarzelühr-Sutter, Rita	Diplom-Betriebswirtin
Seestern-Pauly, Matthias	Gymnasiallehrer
Seidler, Stefan	Deutsch-Dänischer Koordinator
Seif, Detlef	Rechtsanwalt
Seiter, Prof. Dr. Stephan	Professor für Volkswirtschaftslehre
Seitz, Thomas	Volljurist
Seitzl, Dr. Lina	Politikwissenschaftlerin
Sekmen, Melis	Studentin der Volkswirtschaftslehre
Semet, Rainer	Wirtschaftsingenieur
Sichert, Martin	Diplom-Kaufmann
Silberhorn, Thomas	Rechtsanwalt
Simon, Björn	Politikwissenschaftler
Sitte, Dr. Petra	Diplom-Ökonomin
Skudelny, Judith	Rechtsanwältin
Slawik, Nyke	Wissenschaftliche Mitarbeiterin
Sorge, Tino	Rechtsanwalt
Spahn, Jens	Bankkaufmann; Politologe
Spallek, Dr. Anne Monika	Unternehmensberaterin/ Leiterin eines Pferdebetriebes
Spaniel, Dr. Dirk	Diplom-Ingenieur
Spellerberg, Merle	Studentin
Springer, René	Politikwissenschaftler
Stadler, Svenja	Senior-PR-Beraterin
Staffler, Katrin	Biochemikerin (M. Sc.)
Stahr, Nina	Lehrerin
