Name	Partei	Beruf
Kurth, Markus	Grüne	Politikwissenschaftler
Lahrkamp, Sarah	SPD	Politikwissenschaftlerin
Lambsdorff, Alexander Graf	FDP	Diplomat
Lange, Ulrich	CDU/CSU	Rechtsanwalt
Lang, Ricarda	Grüne	Angestellte
Larem, Andreas	SPD	Groß- und Außenhandelskaufmann/ Bürgermeister
Laschet, Armin	CDU/CSU	Ministerpräsident a. D.
Latendorf, Ina	Die Linke	Juristin
Launert, Dr. Silke	CDU/CSU	
Lauterbach, Prof. Dr. Karl	SPD	
Lay, Caren	Die Linke	Diplom-Soziologin
Lechte, Ulrich	FDP	Betriebswirt (VWA)
Lehmann, Jens	CDU/CSU	Erzieher
Lehmann, Sven	Grüne	Politikwissenschaftler
Lehmann, Sylvia	SPD	Ingenieurökonomin
Lehrieder, Paul	CDU/CSU	Rechtsanwalt
Leikert, Dr. Katja	CDU/CSU	
Leiser, Kevin	SPD	Lehrer
Lemke, Steffi	Grüne	Diplom-Agraringenieurin
Lenders, Jürgen	FDP	Kaufmann
Lenk, Barbara	AfD	Bibliothekarin
Lenkert, Ralph	Die Linke	Maschinenbautechniker
Lenz, Dr. Andreas	CDU/CSU	
Leye, Christian	Die Linke	Ökonom
Licina-Bode, Luiza	SPD	Beamtin
Lieb, Dr. Thorsten	FDP	Rechtsanwalt
Liebert, Anja	Grüne	Verwaltungsangestellte
Limbacher, Esra-Leon	SPD	Jurist
Limburg, Helge	Grüne	Jurist
Lindemann, Lars	FDP	Rechtsanwalt
Lindh, Helge	SPD	Wissenschaftlicher Mitarbeiter
Lindholz, Andrea	CDU/CSU	Rechtsanwältin
Lindner, Christian	FDP	Politikwissenschaftler
Lindner, Dr. Tobias	Grüne	Wirtschaftswissenschaftler
Link, Michael Georg	FDP	Übersetzer
Linnemann, Dr. Carsten	CDU/CSU	Diplom-Volkswirt
Lips, Patricia	CDU/CSU	Handelsfachwirtin
Loop, Denise	Grüne	Sozialarbeiterin
Loos, Bernhard	CDU/CSU	Wirtschafts- und Politikwissenschaftler
Lötzsch, Dr. Gesine	Die Linke	Philologin
Lucassen, Rüdiger	AfD	Diplom-Kaufmann
Lucks, Max	Grüne	Angestellter
Luczak, Dr. Jan-Marco	CDU/CSU	Rechtsanwalt
Ludwig, Daniela	CDU/CSU	
Lugk, Bettina	SPD	Geowissenschaftlerin
Lührmann, Dr. Anna	Grüne	Politikwissenschaftlerin
Luksic, Oliver	FDP	Unternehmensberater
Lütke, Kristine	FDP	Pflegeunternehmerin
Lutze, Thomas	Die Linke	Maschinenbauer, Bürokaufmann
Maas, Heiko	SPD	Jurist
Machalet, Dr. Tanja	SPD	Diplom-Volkswirtin
Mackensen-Geis, Isabel	SPD	Politikwissenschaftlerin
Mack, Klaus	CDU/CSU	Diplom-Verwaltungswirt (FH)
Magwas, Yvonne	CDU/CSU	Diplom-Soziologin
Malottki, Erik von	SPD	Gewerkschafter
Mann, Holger	SPD	Mitglied des Landtages
Mansmann, Till	FDP	Diplom-Physiker
Mansoori, Kaweh	SPD	Rechtsanwalt
Martens, Zanda	SPD	Gewerkschaftssekretärin
Martin, Dorothee	SPD	Diplom-Politologin
Marvi, Parsa	SPD	Produktmanager Breitband
Mascheck, Franziska	SPD	Sozialarbeiterin
Mast, Katja	SPD	
Mattfeldt, Andreas	CDU/CSU	Industriekaufmann
Mayer (Altötting), Stephan	CDU/CSU	Rechtsanwalt
Mayer-Lay, Volker	CDU/CSU	Rechtsanwalt, Mediator
Mayer, Zoe	Grüne	Wirtschaftsingenieurin
Mehltretter, Andreas	SPD	Volkswirt
Mehmet Ali, Takis	SPD	Verwaltungsleiter
Meiser, Pascal	Die Linke	Diplom-Politikwissenschaftler
Meister, Dr. Michael	CDU/CSU	Diplom-Mathematiker
Menge, Susanne	Grüne	Studienrätin
Merten, Anikó	FDP	Kunstwissenschaftlerin
Merz, Friedrich	CDU/CSU	Rechtsanwalt
Mesarosch, Robin	SPD	parl. Referent
Metzler, Jan	CDU/CSU	Winzer, Diplom-Betriebswirt (FH)
Meyer, Christoph	FDP	Rechtsanwalt
Miazga, Corinna	AfD	Angestellte
Michaelsen, Swantje Henrike	Grüne	Geschäftsstellenleitung
Michel, Kathrin	SPD	Teamleiterin
Middelberg, Dr. Mathias	CDU/CSU	Rechtsanwalt
Miersch, Dr. Matthias	SPD	Rechtsanwalt
Mieves, Matthias David	SPD	Diplom-Kaufmann
Mihalic, Dr. Irene	Grüne	Polizeibeamtin
Mijatović, Boris	Grüne	Angestellter
Mittag, Susanne	SPD	Polizeibeamtin
Mohamed Ali, Amira	Die Linke	Rechtsanwältin
Möhring, Cornelia	Die Linke	Diplom-Sozialökonomin
Mohrs, Falko	SPD	Diplom-Kaufmann (FH)
Moll, Claudia	SPD	Altenpflegerin
Möller, Siemtje	SPD	Lehrerin 
Moncsek, Mike	AfD	Angestellter
Monstadt, Dietrich	CDU/CSU	Rechtsanwalt
Moosdorf, Matthias	AfD	Musiker
Mordhorst, Maximilian	FDP	Student
Mörseburg, Maximilian	CDU/CSU	Rechtsanwalt
Müller, Alexander	FDP	Diplom-Informatiker
Müller, Axel	CDU/CSU	Richter
Müller, Bettina	SPD	
Müller (Braunschweig), Carsten	CDU/CSU	Bankkaufmann / Rechtsanwalt
Müller (Chemnitz), Detlef	SPD	Lokomotivführer
Müller, Claudia	Grüne	Betriebswirtin
Müller (Erlangen), Stefan	CDU/CSU	
Müller, Florian	CDU/CSU	Referent für Strategie und Regulierung
Müller-Gemmeke, Beate	Grüne	Diplom-Sozialpädagogin (FH)
Müller, Michael	SPD	
Müller-Rosentritt, Frank	FDP	Diplom-Betriebswirt
Müller, Sascha	Grüne	Sportjournalist
Müller, Sepp	CDU/CSU	Diplomierter Bankbetriebswirt
Müntefering, Michelle	SPD	Journalistin
Münzenmaier, Sebastian	AfD	Versicherungs- und Finanzanlagenfachmann
Mützenich, Dr. Rolf	SPD	Politikwissenschaftler
Nacke, Dr. Stefan	CDU/CSU	
Nanni, Sara	Grüne	Friedens- und Konfliktforscherin
Nasr, Rasha	SPD	Büroleiterin
Nastic, Zaklin	Die Linke	
Naujok, Edgar	AfD	Unternehmer
Nestle, Dr. Ingrid	Grüne	Diplom-Wirtschaftsingenieurin
Nick, Dr. Ophelia	Grüne	Tierärztin
Nickholz, Brian	SPD	Geschäftsführer
Nicolaisen, Petra	CDU/CSU	Industriekauffrau
Nietan, Dietmar	SPD	
